date;casConfirmes;var_casConfirmes_1j;var_casConfirmes_3j;var_casConfirmes_7j;var_casConfirmes_15j;diff_casConfirmes_1j;diff_casConfirmes_3j;diff_casConfirmes_7j;diff_casConfirmes_15j;var_diff_casConfirmes_1j;var_diff_casConfirmes_3j;var_diff_casConfirmes_7j;var_diff_casConfirmes_15j;hospitalises;avg_hospitalises_3j;avg_hospitalises_7j;avg_hospitalises_15j;var_hospitalises_1j;var_hospitalises_3j;var_hospitalises_7j;var_hospitalises_15j;diff_hospitalises_1j;diff_hospitalises_3j;diff_hospitalises_7j;diff_hospitalises_15j;var_diff_hospitalises_1j;var_diff_hospitalises_3j;var_diff_hospitalises_7j;var_diff_hospitalises_15j;gueris;var_gueris_1j;var_gueris_3j;var_gueris_7j;var_gueris_15j;diff_gueris_1j;diff_gueris_3j;diff_gueris_7j;diff_gueris_15j;var_diff_gueris_1j;var_diff_gueris_3j;var_diff_gueris_7j;var_diff_gueris_15j;reanimation;avg_reanimation_3j;avg_reanimation_7j;avg_reanimation_15j;var_reanimation_1j;var_reanimation_3j;var_reanimation_7j;var_reanimation_15j;diff_reanimation_1j;diff_reanimation_3j;diff_reanimation_7j;diff_reanimation_15j;var_diff_reanimation_1j;var_diff_reanimation_3j;var_diff_reanimation_7j;var_diff_reanimation_15j;deces;var_deces_1j;var_deces_3j;var_deces_7j;var_deces_15j;diff_deces_1j;diff_deces_3j;diff_deces_7j;diff_deces_15j;var_diff_deces_1j;var_diff_deces_3j;var_diff_deces_7j;var_diff_deces_15j;casEhpad;var_casEhpad_1j;var_casEhpad_3j;var_casEhpad_7j;var_casEhpad_15j;diff_casEhpad_1j;diff_casEhpad_3j;diff_casEhpad_7j;diff_casEhpad_15j;var_diff_casEhpad_1j;var_diff_casEhpad_3j;var_diff_casEhpad_7j;var_diff_casEhpad_15j;casConfirmesEhpad;var_casConfirmesEhpad_1j;var_casConfirmesEhpad_3j;var_casConfirmesEhpad_7j;var_casConfirmesEhpad_15j;diff_casConfirmesEhpad_1j;diff_casConfirmesEhpad_3j;diff_casConfirmesEhpad_7j;diff_casConfirmesEhpad_15j;var_diff_casConfirmesEhpad_1j;var_diff_casConfirmesEhpad_3j;var_diff_casConfirmesEhpad_7j;var_diff_casConfirmesEhpad_15j;decesEhpad;var_decesEhpad_1j;var_decesEhpad_3j;var_decesEhpad_7j;var_decesEhpad_15j;diff_decesEhpad_1j;diff_decesEhpad_3j;diff_decesEhpad_7j;diff_decesEhpad_15j;var_diff_decesEhpad_1j;var_diff_decesEhpad_3j;var_diff_decesEhpad_7j;var_diff_decesEhpad_15j
2020-01-24;3;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;
2020-01-27;3;0.0;;;;0.0;;;;;;;;3;;;;0.0;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;;0;;;;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;
2020-01-28;4;0.3333;;;;1.0;;;;inf;;;;4;3.3333;;;0.3333;;;;1.0;;;;inf;;;;0;;;;;0.0;;;;;;;;1;0.3333;;;inf;;;;1.0;;;;inf;;;;0;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;;0;;;;;0.0;;;;;;;
2020-01-29;5;0.25;0.6667;;;1.0;2.0;;;0.0;;;;5;4.0;;;0.25;0.6667;;;1.0;2.0;;;0.0;;;;0;;;;;0.0;0.0;;;;;;;2;1.0;;;1.0;inf;;;1.0;2.0;;;0.0;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;
2020-01-30;6;0.2;1.0;;;1.0;3.0;;;0.0;0.5;;;6;5.0;;;0.2;1.0;;;1.0;3.0;;;0.0;0.5;;;0;;;;;0.0;0.0;;;;;;;2;1.6667;;;0.0;inf;;;0.0;2.0;;;-1.0;0.0;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;
2020-01-31;6;0.0;0.5;;;0.0;2.0;;;-1.0;-0.3333;;;6;5.6667;;;0.0;0.5;;;0.0;2.0;;;-1.0;-0.3333;;;0;;;;;0.0;0.0;;;;;;;2;2.0;;;0.0;1.0;;;0.0;1.0;;;;-0.5;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;
2020-02-02;6;0.0;0.2;;;0.0;1.0;;;;-0.5;;;6;6.0;4.7143;;0.0;0.2;;;0.0;1.0;;;;-0.5;;;0;;;;;0.0;0.0;;;;;;;1;1.6667;1.1429;;-0.5;-0.5;;;-1.0;-1.0;;;-inf;-2.0;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;;0;;;;;0.0;0.0;;;;;;
2020-02-03;6;0.0;0.0;1.0;;0.0;0.0;3.0;;;-1.0;;;6;6.0;5.1429;;0.0;0.0;1.0;;0.0;0.0;3.0;;;-1.0;;;0;;;;;0.0;0.0;0.0;;;;;;1;1.3333;1.2857;;0.0;-0.5;inf;;0.0;-1.0;1.0;;-1.0;0.0;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-04;6;0.0;0.0;1.0;;0.0;0.0;3.0;;;;0.0;;6;6.0;5.5714;;0.0;0.0;1.0;;0.0;0.0;3.0;;;;0.0;;0;;;;;0.0;0.0;0.0;;;;;;1;1.0;1.4286;;0.0;-0.5;inf;;0.0;-1.0;1.0;;;0.0;0.0;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-05;6;0.0;0.0;0.5;;0.0;0.0;2.0;;;;-0.3333;;6;6.0;5.8571;;0.0;0.0;0.5;;0.0;0.0;2.0;;;;-0.3333;;0;;;;;0.0;0.0;0.0;;;;;;1;1.0;1.4286;;0.0;0.0;0.0;;0.0;0.0;0.0;;;-1.0;-1.0;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-07;6;0.0;0.0;0.2;;0.0;0.0;1.0;;;;-0.5;;6;6.0;6.0;;0.0;0.0;0.2;;0.0;0.0;1.0;;;;-0.5;;0;;;;;0.0;0.0;0.0;;;;;;1;1.0;1.2857;;0.0;0.0;-0.5;;0.0;0.0;-1.0;;;;-inf;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-08;11;0.8333;0.8333;0.8333;;5.0;5.0;5.0;;inf;inf;4.0;;11;7.6667;6.7143;;0.8333;0.8333;0.8333;;5.0;5.0;5.0;;inf;inf;4.0;;0;;;;;0.0;0.0;0.0;;;;;;1;1.0;1.1429;;0.0;0.0;-0.5;;0.0;0.0;-1.0;;;;0.0;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-09;11;0.0;0.8333;0.8333;;0.0;5.0;5.0;;-1.0;0.0;0.0;;11;9.3333;7.4286;;0.0;0.8333;0.8333;;0.0;5.0;5.0;;-1.0;0.0;0.0;;0;;;;;0.0;0.0;0.0;;;;;;1;1.0;1.0;;0.0;0.0;-0.5;;0.0;0.0;-1.0;;;;0.0;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-10;11;0.0;0.8333;0.8333;;0.0;5.0;5.0;;;0.0;0.0;;11;11.0;8.1429;;0.0;0.8333;0.8333;;0.0;5.0;5.0;;;0.0;0.0;;0;;;;;0.0;0.0;0.0;;;;;;1;1.0;1.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;;-1.0;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-12;11;0.0;0.0;0.8333;;0.0;0.0;5.0;;;-1.0;0.0;;9;10.3333;8.5714;6.6;-0.1818;-0.1818;0.5;;-2.0;-2.0;3.0;;-inf;-1.4;-0.4;;2;inf;inf;inf;;2.0;2.0;2.0;;inf;inf;inf;;1;1.0;1.0;1.0667;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;0.0;;;;;
2020-02-13;11;0.0;0.0;0.8333;2.6667;0.0;0.0;5.0;8.0;;;0.0;;8;9.3333;8.8571;6.9333;-0.1111;-0.2727;0.3333;1.6667;-1.0;-3.0;2.0;5.0;-0.5;0.5;-0.3333;;3;0.5;inf;inf;inf;1.0;3.0;3.0;3.0;-0.5;0.5;0.5;;1;1.0;1.0;1.1333;0.0;0.0;0.0;inf;0.0;0.0;0.0;1.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-15;12;0.0909;0.0909;1.0;3.0;1.0;1.0;6.0;9.0;inf;inf;0.2;0.125;7;8.0;9.0;7.2;-0.125;-0.3636;0.1667;1.3333;-1.0;-4.0;1.0;4.0;0.0;0.3333;-0.5;-0.2;4;0.3333;inf;inf;inf;1.0;4.0;4.0;4.0;0.0;0.3333;0.3333;0.3333;0;0.6667;0.8571;1.1333;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;0.0;-inf;-inf;-inf;-1.0;1;inf;inf;inf;inf;1.0;1.0;1.0;1.0;inf;inf;inf;inf;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-17;12;0.0;0.0909;1.0;2.0;0.0;1.0;6.0;8.0;-1.0;0.0;0.0;-0.1111;0;5.0;8.1429;6.9333;-1.0;-1.0;-1.0;-1.0;-7.0;-9.0;-6.0;-4.0;6.0;1.25;-7.0;-2.0;0;-1.0;-1.0;;;-4.0;-2.0;0.0;0.0;-5.0;-1.5;-1.0;-1.0;0;0.3333;0.7143;1.0667;;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;-inf;1;0.0;inf;inf;inf;0.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-19;12;0.0;0.0909;0.0909;1.4;0.0;1.0;1.0;7.0;;0.0;-0.8333;-0.125;4;3.6667;7.1429;6.8667;inf;-0.5;-0.6364;-0.2;4.0;-4.0;-7.0;-1.0;-1.5714;-0.5556;0.1667;-0.75;7;inf;1.3333;inf;inf;7.0;4.0;7.0;7.0;-2.75;-3.0;inf;inf;0;0.0;0.5714;0.9333;;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-2.0;;0.0;0.0;1.0;1;0.0;inf;inf;inf;0.0;1.0;1.0;1.0;;0.0;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-21;12;0.0;0.0;0.0909;1.0;0.0;0.0;1.0;6.0;;-1.0;0.0;-0.1429;1;1.6667;5.7143;6.5333;-0.75;-0.8571;-0.9091;-0.8333;-3.0;-6.0;-10.0;-5.0;-1.75;0.5;0.4286;4.0;10;0.4286;1.5;inf;inf;3.0;6.0;10.0;10.0;-0.5714;0.5;0.4286;0.4286;0;0.0;0.4286;0.8;;;-1.0;-1.0;0.0;0.0;-1.0;-2.0;;-1.0;0.0;0.0;1;0.0;0.0;inf;inf;0.0;0.0;1.0;1.0;;-1.0;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-23;12;0.0;0.0;0.0909;1.0;0.0;0.0;1.0;6.0;;;0.0;0.0;1;2.0;4.2857;6.2;0.0;inf;-0.9091;-0.8333;0.0;1.0;-10.0;-5.0;-1.0;-1.1667;0.0;0.0;10;0.0;inf;inf;inf;0.0;10.0;10.0;10.0;-1.0;0.6667;0.0;0.0;0;0.0;0.2857;0.6667;;;-1.0;-1.0;0.0;0.0;-1.0;-2.0;;;0.0;0.0;1;0.0;0.0;inf;inf;0.0;0.0;1.0;1.0;;;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-24;12;0.0;0.0;0.0909;1.0;0.0;0.0;1.0;6.0;;;0.0;0.0;0;0.6667;3.0;5.8;-1.0;-1.0;-1.0;-1.0;-1.0;-4.0;-9.0;-6.0;-inf;-5.0;-0.1;0.2;11;0.1;0.5714;4.5;inf;1.0;4.0;9.0;11.0;inf;-0.6;-0.1;0.1;0;0.0;0.1429;0.6;;;-1.0;-1.0;0.0;0.0;-1.0;-1.0;;;0.0;-0.5;1;0.0;0.0;inf;inf;0.0;0.0;1.0;1.0;;;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-25;14;0.1667;0.1667;0.2727;1.3333;2.0;2.0;3.0;8.0;inf;inf;2.0;0.3333;2;1.0;2.1429;5.5333;inf;1.0;-0.75;-0.6667;2.0;1.0;-6.0;-4.0;-3.0;-1.25;-0.3333;-0.3333;11;0.0;0.1;2.6667;inf;0.0;1.0;8.0;11.0;-1.0;-0.75;-0.1111;0.0;0;0.0;0.0;0.5333;;;-1.0;-1.0;0.0;0.0;-1.0;-1.0;;;0.0;0.0;1;0.0;0.0;inf;inf;0.0;0.0;1.0;1.0;;;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-26;18;0.2857;0.5;0.5;2.0;4.0;6.0;6.0;12.0;1.0;2.0;1.0;0.5;4;2.0;1.7143;5.4;1.0;3.0;-0.4286;-0.3333;2.0;3.0;-3.0;-2.0;0.0;2.0;-0.5;-0.5;12;0.0909;0.2;2.0;inf;1.0;2.0;8.0;12.0;inf;1.0;0.0;0.0909;0;0.0;0.0;0.4667;;;;-1.0;0.0;0.0;0.0;-1.0;;;-1.0;0.0;2;1.0;1.0;1.0;inf;1.0;1.0;1.0;2.0;inf;inf;0.0;1.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-27;38;1.1111;2.1667;2.1667;5.3333;20.0;26.0;26.0;32.0;4.0;3.3333;3.3333;1.6667;24;10.0;5.1429;6.6;5.0;inf;inf;3.0;20.0;24.0;24.0;18.0;9.0;7.0;-9.0;-10.0;12;0.0;0.0909;inf;inf;0.0;1.0;12.0;12.0;-1.0;-0.5;0.5;0.0;2;0.6667;0.2857;0.5333;inf;inf;inf;1.0;2.0;2.0;2.0;1.0;inf;inf;inf;-2.0;2;0.0;1.0;1.0;inf;0.0;1.0;1.0;2.0;-1.0;0.0;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-28;57;0.5;3.0714;3.75;8.5;19.0;43.0;45.0;51.0;-0.05;0.6538;0.7308;0.5938;0;9.3333;4.5714;6.2;-1.0;-1.0;-1.0;-1.0;-24.0;-2.0;-4.0;-6.0;-2.2;-1.0833;-1.1667;-1.3333;0;-1.0;-1.0;-1.0;;-12.0;-11.0;-7.0;0.0;-inf;-12.0;-1.5833;-1.0;0;0.6667;0.2857;0.4667;-1.0;;;-1.0;-2.0;0.0;0.0;-1.0;-2.0;-1.0;-1.0;-2.0;2;0.0;1.0;1.0;inf;0.0;1.0;1.0;2.0;;0.0;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-02-29;100;0.7544;4.5556;7.3333;8.0909;43.0;82.0;88.0;89.0;1.2632;0.907;0.9556;0.7451;86;36.6667;16.7143;11.2;inf;20.5;85.0;6.8182;86.0;82.0;85.0;75.0;-4.5833;-42.0;-22.25;-13.5;12;inf;0.0;0.2;inf;12.0;0.0;2.0;12.0;-2.0;-1.0;-1.2857;inf;9;3.6667;1.5714;1.0;inf;inf;inf;8.0;9.0;9.0;9.0;8.0;-5.5;inf;inf;-9.0;2;0.0;0.0;1.0;inf;0.0;0.0;1.0;2.0;;-1.0;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-03-01;130;0.3;2.4211;9.8333;10.8182;30.0;92.0;118.0;119.0;-0.3023;0.122;0.3409;0.3371;116;67.3333;33.1429;18.2;0.3488;3.8333;115.0;9.5455;30.0;92.0;115.0;105.0;-0.6512;0.122;0.3529;0.4;12;0.0;0.0;0.2;inf;0.0;0.0;2.0;12.0;-1.0;;0.0;0.0;9;6.0;2.8571;1.5333;0.0;3.5;inf;8.0;0.0;7.0;9.0;8.0;-1.0;-0.2222;0.0;0.0;2;0.0;0.0;1.0;inf;0.0;0.0;1.0;2.0;;;0.0;0.0;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-03-02;191;0.4692;2.3509;14.9167;16.3636;61.0;134.0;179.0;180.0;1.0333;0.4565;0.5169;0.5126;0;67.3333;33.1429;17.4667;-1.0;;;-1.0;-116.0;0.0;0.0;-11.0;-4.8667;-1.0;-1.0;-1.1048;0;-1.0;;-1.0;;-12.0;0.0;-11.0;0.0;-inf;;-6.5;-1.0;0;6.0;2.8571;1.4667;-1.0;;;-1.0;-9.0;0.0;0.0;-1.0;-inf;-1.0;-1.0;-1.125;3;0.5;0.5;2.0;inf;1.0;1.0;2.0;3.0;inf;inf;1.0;0.5;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
2020-03-03;212;0.1099;1.12;14.1429;18.2727;21.0;112.0;198.0;201.0;-0.6557;-0.1642;0.1061;0.1167;0;38.6667;32.8571;16.8667;;-1.0;-1.0;-1.0;0.0;-86.0;-2.0;-9.0;-1.0;-inf;-inf;-0.1818;12;inf;0.0;0.0909;5.0;12.0;0.0;1.0;10.0;-2.0;;-1.0909;inf;0;3.0;2.8571;1.4;;-1.0;;-1.0;0.0;-9.0;0.0;-1.0;-1.0;-inf;;0.0;4;0.3333;1.0;3.0;inf;1.0;2.0;3.0;4.0;0.0;1.0;0.5;0.3333;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;;0;;;;;0.0;0.0;0.0;0.0;;;;
