date;casConfirmes;diff_casConfirmes_1j;var_diff_casConfirmes_1j;trend_diff_casConfirmes_1j;diff_casConfirmes_7j;var_diff_casConfirmes_7j;trend_diff_casConfirmes_7j;hospitalises;diff_hospitalises_1j;var_diff_hospitalises_1j;trend_diff_hospitalises_1j;diff_hospitalises_7j;var_diff_hospitalises_7j;trend_diff_hospitalises_7j;gueris;diff_gueris_1j;var_diff_gueris_1j;trend_diff_gueris_1j;diff_gueris_7j;var_diff_gueris_7j;trend_diff_gueris_7j;reanimation;diff_reanimation_1j;var_diff_reanimation_1j;trend_diff_reanimation_1j;diff_reanimation_7j;var_diff_reanimation_7j;trend_diff_reanimation_7j;deces;diff_deces_1j;var_diff_deces_1j;trend_diff_deces_1j;diff_deces_7j;var_diff_deces_7j;trend_diff_deces_7j
2020-01-24;3;;;?;;;?;3;;;?;;;?;0;;;?;;;?;0;;;?;;;?;0;;;?;;;?
2020-01-27;3;0.0;0.0;⬌;;;?;3;0.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?
2020-01-28;4;1.0;inf;⬈;;;?;4;1.0;inf;⬈;;;?;0;0.0;0.0;⬌;;;?;1;1.0;inf;⬈;;;?;0;0.0;0.0;⬌;;;?
2020-01-29;5;1.0;0.0;⬌;;;?;5;1.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?;2;1.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?
2020-01-30;6;1.0;0.0;⬌;;;?;6;1.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?;2;0.0;-100.0;⬊;;;?;0;0.0;0.0;⬌;;;?
2020-01-31;6;0.0;-100.0;⬊;;;?;6;0.0;-100.0;⬊;;;?;0;0.0;0.0;⬌;;;?;2;0.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?
2020-02-02;6;0.0;0.0;⬌;;;?;6;0.0;0.0;⬌;;;?;0;0.0;0.0;⬌;;;?;1;-1.0;-inf;⬊;;;?;0;0.0;0.0;⬌;;;?
2020-02-03;6;0.0;0.0;⬌;3.0;;?;6;0.0;0.0;⬌;3.0;;?;0;0.0;0.0;⬌;0.0;0.0;⬌;1;0.0;-100.0;⬊;1.0;;?;0;0.0;0.0;⬌;0.0;0.0;⬌
2020-02-04;6;0.0;0.0;⬌;3.0;0.0;⬌;6;0.0;0.0;⬌;3.0;0.0;⬌;0;0.0;0.0;⬌;0.0;0.0;⬌;1;0.0;0.0;⬌;1.0;0.0;⬌;0;0.0;0.0;⬌;0.0;0.0;⬌
2020-02-05;6;0.0;0.0;⬌;2.0;-33.33;⬊;6;0.0;0.0;⬌;2.0;-33.33;⬊;0;0.0;0.0;⬌;0.0;0.0;⬌;1;0.0;0.0;⬌;0.0;-100.0;⬊;0;0.0;0.0;⬌;0.0;0.0;⬌
